Start.time,Completion.time,Name,Age,Gender,Nationality,Employment.status,Duration.of.your.studies.in.Segovia.,Type.of.home.you.live.in.,Square.footage.of.the.property.,Number.of.roommates,Area.or.neighborhood.in.Segovia.where.you.live,Email,Duration of your lease,How long do you      expect to stay in your current residence?,How much do you pay monthly in your rental contract,"Which services and costs are included in the contract (internet, gas, water..)","Do you have any other service contracted (laundry, cleaning...) Please list them",What are the monthly cost of these services,Did you find the appartment thorugh a platform/portal/agency? ,Which one? ,What were the main difficulties you encountered when searching for housing?
1970-01-01 12:41:11.461725,45646.638680982,,19,Woman,Hungary,Only studying,9 months,Student residence ,147,3,Acueduxt San lorenzo,,,I will move to another residence for the duration of my studies.,1050,Full board,No,NA,,Friend,Availability;High prices;
1970-01-01 12:40:18.882222,45677.5885532407,,19,Man,Italian,Only studying,4 years,Family home ,130,0,Plaza Mayor,,Julio 2025,I will move to another residence for the duration of my studies.,1000,No,"Full Board, weekly bed linen and towel laundry service and cleaning",Included,Yes,IE,
1970-01-01 12:40:18.890069,45677.5885532407,,20,Woman,Brazil,Only studying,2 year,Student residence ,100,1,Acueduct,,1 curso académico,I will move to another residence for the duration of my studies.,275,,"all included, cleaning, full board, manteinance, bed linen and towels laundry",laundry for 25€,No,Vizcaínos idealista,
1970-01-01 12:40:29.819375,45611.7920601852,,19,Woman,Spain,Only studying,6 month,Rental with a private landlord,20m2,0,San Lorenzo,,1 academic year,I will stay only as long as my studies last,1150,,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",-,No,IE,
1970-01-01 12:40:45.428924,45675.9668410318,,19,Woman,Spain,Only studying,4 years,Rental with a private landlord,300m2,0,Center,anonymous,,I will move to another residence for the duration of my studies.,750,No,None,100,,Te tal Agency,High prices;None met my expectations;
1970-01-01 12:41:06.491644,45670.8395403238,,21,Man,Ireland,Only studying,2 year,Rental with a company,105,2,Acueduct,,9 month,I will move to another residence for the duration of my studies.,1540,Everything,manteinance and cleaning,included,,Uniplaces,High prices;
,45633.3076991412,,19,Man,Spain,Only studying,2 year,Rental with a company,100,5,San Lorenzo,,Ayuden year,I will stay only as long as my studies last,875,All foo,weekly cleaning and optional laundry,100,No,,Availability;High prices;
1970-01-01 12:41:06.52463,45677.5885532407,,20,Man,El Salvador,Studying and working ,2 year,Rental with a private landlord,300m2,0,San Nicolás,,Año académico.,I will move to another residence for the duration of my studies.,820,All,manteinance and cleaning,included,No,Uniplaces,
1970-01-01 12:41:06.52463,45675.5566569751,,18,Man,Italy,Only studying,2 year,Rental with a company,300m2,5,Center,,1 year,I will move to another residence for the duration of my studies.,1350,All foo,Cleaning and food (media pensión),Included,No,IE,Availability;
1970-01-01 12:41:12.502083,45611.7920601852,,19,Man,El Salvador,Studying and working ,6 months,Rental with a private landlord,20m2,3,Acueduct,,1 year,I will stay only as long as my studies last,400,Full board,Cleaning and manteinance,100,Yes,Te tal Agency,NA;
1970-01-01 12:41:06.498611,45677.5885532407,,20,Man,Germany,Only studying,1 year a half,Rental with a private landlord,105,0,San Lorenzo,,Study year,I will stay only as long as my studies last,1300,All,None,Included,,Beyind campos,Availability;
1970-01-01 12:40:45.428924,45676.3770250884,,19,Woman,Spain/China,Only studying,1 semester,Student residence ,80m2,2,Center,anonymous,,I will move to another residence for the duration of my studies.,1500,Gas electric unit,1100 limpieza y comida,50€ each full cleaning manteinance included,,beyond ie,Availability;High prices;
1970-01-01 12:41:17.524005,45677.5885532407,,19,Woman,Hungary,Only studying,2 yeas,Student residence ,12m2,3,Plaza mayor,anonymous,Ayuden year,I will stay only as long as my studies last,700,Full board,Cleaning Laundry,100,,beyond campus,NA;
1970-01-01 12:41:17.548021,45667.147883814,,18,Woman,Italy,Only studying,2,Student residence ,12m2,0,Center (San Nicolás),,Study year,I will move to another residence for the duration of my studies.,900,,All cleaning food,included,,beyond campus,High prices;
1970-01-01 12:41:06.52463,45663.2511352759,,19,Man,Argentina,Only studying,9 months,Rental with a private landlord,15,5,Center,,Julio 2025,I will move to another residence for the duration of my studies.,1500,Everything,"Daily cleaning, laundry, full board and parking",50€ each full cleaning manteinance included,Yes,Beyond camous,High prices;None met my expectations;
1970-01-01 12:41:12.488113,45675.1464729185,,21,Man,Phillipines,Only studying,2 year,Rental with a private landlord,130,2,On campus,anonymous,Julio 2025,I will stay only as long as my studies last,700,Yes,Everything included,NA,No,Betina camous,Availability;
1970-01-01 12:41:06.482535,45667.5580678706,,18,Woman,USA,Only studying,2 year,Rental with a company,80m2,2,Center,,9 months,I will move to another residence for the duration of my studies.,590,all,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",100,Yes,Vizcaínos idealista,High prices;None met my expectations;
1970-01-01 12:41:17.577187,45646.638680982,,19,Woman,USA,Only studying,6 month,Rental with a private landlord,85 70,3,Factory,,Academic year,I will stay only as long as my studies last,1540,Full board,None,100,,Friend,NA;
1970-01-01 12:41:11.462384,45664.8918715025,,18,Woman,France,Only studying,2 years,Student residence ,130,4,Center,,1 year study,I will stay only as long as my studies last,1100,all,Cleaning Laundry,50€ each full cleaning manteinance included,Yes,vizcainos,Availability;High prices;
1970-01-01 12:40:18.883924,45673.3006446636,,20,Woman,Italy,Only studying,4 years,Rental with a private landlord,80,1,Plaza mayor,anonymous,5 months,I will move to another residence for the duration of my studies.,1200,No,"Full Board, weekly bed linen and towel laundry service and cleaning",NA,Yes,Idealista,High prices;
1970-01-01 12:41:17.529201,45667.3529758423,,18,Woman,Egypt,Only studying,9 month,Rental with a company,15,5,Acueduct,anonymous,Año académico.,I will stay only as long as my studies last,1150,Full board,Brwkfast and dinner,included,No,Beyond IE,High prices;Availability;
1970-01-01 12:40:18.890069,45672.0700924937,,20,Woman,Germany,Only studying,1 semester,Rental with a private landlord,150,1,Center,,Ayuden year,I will stay only as long as my studies last,730,yes,No,included,No,Strident houses,
1970-01-01 12:41:06.50912,45613.2086803659,,18,Woman,Spain,Only studying,1 semester,Student residence ,80,0,Plaza mayor,,10 mints academic year,I will stay only as long as my studies last,275,all,Cleaning,100,No,Te tal Agency,NA;
1970-01-01 12:41:06.50912,45677.40248523,,18,Woman,USA,Only studying,2 year,Rental with a private landlord,120,0,San Lorenzo,,9  months,I will move to another residence for the duration of my studies.,875,All foo,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",100,Yes,Beyond ie,High prices;
1970-01-01 12:41:13.691042,45674.1210127769,,19,Man,Spain,Only studying,6 months,Rental with a private landlord,110,5,Plaza mayor,,Academics year,I will move to another residence for the duration of my studies.,900,Yes,All cleaning food,laundry for 25€,No,Inn family,High prices;
1970-01-01 12:41:12.488113,45625.3091100367,,19,Woman,Philippines,Only studying,9 months,Rental with a private landlord,Studio,2,San Lorenzo,,10 months,I will move to another residence for the duration of my studies.,960,Everything,"Manteinance, cleaning once a week and information",-,,Te tal Agency,Availability;
1970-01-01 12:41:17.550949,45624.4887419235,,19,Woman,Brazil,Only studying,2 yeas,Student residence ,60m2,1,Berber denporreros,anonymous,,I will stay only as long as my studies last,730,All,Brwkfast and dinner,NA,Yes,Beyond camous,Availability;
1970-01-01 12:41:06.48375,45669.4038961255,,17,Woman,Ecuador,Only studying,2 years,Rental with a company,100,0,Villaroma,,10 mints academic year,I will stay only as long as my studies last,730,,"towel and bed linen laundry, breakfast, lunch and dinner",100,,Idealista,NA;
1970-01-01 12:41:17.58191,45630.2313187164,,20,Woman,Lebanese,Only studying,1 year,Rental with a private landlord,20,2,Center,,10 months,I will move to another residence for the duration of my studies.,1400,Everything,"Manteinance, cleaning once a week and information",100,No,Friend,High prices;Availability;
1970-01-01 12:41:17.56162,45671.0446323521,,19,Man,India,Only studying,4 years,Student residence ,Studio,3,San Lorenzo,anonymous,,I will stay only as long as my studies last,400,yes,Laundry and cleaning,,Yes,Te tal Agency,NA;
1970-01-01 12:41:17.55934,45664.6867794742,,22,Man,Egypt,Only studying,9 month,Rental with a private landlord,Studio,0,Acueducto,,Academic year,I will stay only as long as my studies last,,Gas electric unit,Dios me al laundry,-,Yes,,High prices;None met my expectations;
1970-01-01 12:41:12.494572,45666.1224236724,,19,Woman,Mexico,Only studying,2 year,Rental with a company,20m2,3,Center,anonymous,5 months,I will stay only as long as my studies last,1050,All foo,"Manteinance, cleaning once a week and information",NA,,Beyond camous,NA;
1970-01-01 12:40:15.784826,45677.5885532407,,20,Man,Canada,Only studying,2 year,Rental with a private landlord,200m2,0,Center,anonymous,Academic year,I will stay only as long as my studies last,500,Gas electric unit,"all included, cleaning, full board, manteinance, bed linen and towels laundry",Included,No,,High prices;
1970-01-01 12:40:45.428924,45615.6697847057,,21,Man,Spain,Only studying,2 years,Rental with a private landlord,300,1,Center,,Academic year,I will stay only as long as my studies last,590,Yes,All cleaning food,Included,No,,NA;
1970-01-01 12:40:18.882222,45677.5885532407,,22,Woman,Ireland,Only studying,1 year a half,Student residence ,60m2,2,Acueduxt San lorenzo,anonymous,9  months,I will move to another residence for the duration of my studies.,1250,Internet agua electricidad,"Full Board, bedroom cleaning, bed linen and towel laundry service",Included,,Beyond ie,High prices;None met my expectations;
1970-01-01 12:41:17.58191,45677.5885532407,,18,Man,Ecuador,Only studying,2 years,Rental with a company,80,1,Center,,Study year,I will stay only as long as my studies last,1540,All,weekly cleaning and optional laundry,included,,Beyond camous,Availability;
1970-01-01 12:41:17.564988,45673.3006446636,,18,Woman,Italian,Only studying,6 month,Rental with a private landlord,15,5,Acueducto,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,875,all,Cleaning once a week,,No,Beyond IE,
1970-01-01 12:41:06.52463,45671.0446323521,,19,Man,Colmbia,Only studying,1 year,Student residence ,95,0,Acueducto,,1 curso académico,I will move to another residence for the duration of my studies.,1400,yes,"Manteinance, cleaning once a week and information",Included,No,Ie,High prices;None met my expectations;
1970-01-01 12:41:17.577187,45665.0969635308,,19,Woman,Ecuador,Only studying,9 months,Rental with a private landlord,110,1,Center,anonymous,6 months,I will stay only as long as my studies last,730,Everything,Everything included,-,,Beyond campus,Availability;
1970-01-01 12:41:06.50912,45625.7192940934,,22,Man,France,Only studying,9 month,Rental with a private landlord,20m2,0,Center,,Academics year,I will stay only as long as my studies last,1000,Gas electric unit,Cleaning,50€ each full cleaning manteinance included,,Beyond campus,High prices;
1970-01-01 12:41:06.52463,45673.5057366919,,22,Woman,Italy,Only studying,2y,Rental with a company,20m2,2,San Lorenzo,,1 academic year,I will stay only as long as my studies last,875,Everything,Cleaning,included,Yes,vizcainos,High prices;None met my expectations;
1970-01-01 12:41:12.491157,45660.7900309361,,20,Man,Spain,Only studying,2 years,Rental with a private landlord,200m2,3,Center (San Nicolás),anonymous,Academic year,I will stay only as long as my studies last,1300,All foo,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",laundry for 25€,Yes,Beyind campos,High prices;None met my expectations;
1970-01-01 12:41:17.543866,45676.1719330601,,19,Man,Brazil,Only studying,1 year,Rental with a private landlord,Studio,3,San Nicolás,,1 year study,I will stay only as long as my studies last,400,Internet agua electricidad,Cleaning once a week,50€ each full cleaning manteinance included,Yes,Beyond IE,High prices;None met my expectations;
1970-01-01 12:41:06.52463,45616.490152819,,22,Man,Brazil,Only studying,2 years,Rental with a private landlord,95,0,Center,anonymous,1 curso académico,I will stay only as long as my studies last,900,All foo,"Full Board, bed linen and towel laundry service",NA,,Beyond campus,High prices;
1970-01-01 12:41:06.513125,45666.7376997574,,18,Woman,Danish,Only studying,2 years,Rental with a company,12m2,2,Center,,1 academic year,I will move to another residence for the duration of my studies.,960,all,No,Included,,Beyond ie,High prices;Availability;
1970-01-01 12:41:12.497361,45613.2086803659,,18,Woman,Brazil,Only studying,4 years,Student residence ,300m2,2,Center,anonymous,1 year study,I will stay only as long as my studies last,1150,All foo,Cleaning and food (media pensión),included,,Beyond camous,High prices;None met my expectations;
1970-01-01 12:41:17.517894,45677.5885532407,,18,Woman,USA,Only studying,6 month,Rental with a private landlord,10m2,0,Center,anonymous,Study year,I will stay only as long as my studies last,820,Wi-Fi water everything,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",-,,Idelaista,NA;
1970-01-01 12:41:17.550949,45677.5885532407,,22,Woman,Mexico,Only studying,6 month,Rental with a company,100,0,Center,anonymous,Study year,I will move to another residence for the duration of my studies.,700,Gas electric unit,manteinance and cleaning,-,No,Betina camous,High prices;
1970-01-01 12:41:11.462384,45677.5885532407,,22,Woman,USA,Only studying,2 year,Rental with a private landlord,20m2,0,Centre,,Julio 2025,I will stay only as long as my studies last,820,Internet agua electricidad,weekly cleaning and optional laundry,,,Beyond camous,NA;
1970-01-01 12:40:29.819375,45677.5885532407,,22,Man,Spain,Only studying,4 years,Rental with a private landlord,12m2,2,Plaza Mayor,anonymous,10 mints academic year,I will stay only as long as my studies last,900,all,Food cleaning (Cara),-,No,Vizcaínos idealista,Availability;
1970-01-01 12:41:12.488113,45676.9923011733,,18,Woman,Ecuador,Only studying,4 years,Rental with a private landlord,20m2,2,Berber denporreros,anonymous,9 month,I will stay only as long as my studies last,500,Full board,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",-,,IE,Availability;High prices;
1970-01-01 12:41:17.543866,45662.4307671626,,18,Man,Belgium,Only studying,2 years,Rental with a private landlord,120,5,Calle Juan bravo,,1 curso académico,I will stay only as long as my studies last,1500,Wi-Fi water everything,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",50€ each full cleaning manteinance included,Yes,Sogeima,Availability;
